ANZSCO Level,NFD Indicator 5,Code,ANZSCO Title,COVID Adjusted 3,Skill Level 4,Trend Data for Aug 2025 1,Qtr Change to Aug 2025 1,Qtr Change to Aug 2025 1,1 Year  Change to Aug 2025 1,1 Year  Change to Aug 2025 1,5 Year  Change to Aug 2025 1,5 Year  Change to Aug 2025 1,10 Year  Change to Aug 2025 1,10 Year  Change to Aug 2025 1,Share of National Emp 1,Share of Level 1 Group 1,Female Share 2024 4 Quarter Avg 2,Part Time Share 2024 4 Quarter Avg 2,Female Part Time Share 2024 4 Quarter Avg 2,Male Part Time Share 2024 4 Quarter Avg 2,Median Age 2024 2,Median Female Age 2024 2,Median Male Age 2024 2
3,N,149,"Miscellaneous Hospitality, Retail and Service Managers",-,-,208.574902038704,1.33899142680141,0.64611940220582,5.45025838311258,2.68320883425341,34.7949198258254,20.0223980821922,49.4315898091257,31.0610537864238,1.41837031852184,10.9733688102773,43,16,22,11,43,41,45
4,Y,1490,"Miscellaneous Hospitality, Retail and Service Managers nfd",-,2,0.399704414121045,0.0229986366768036,6.10519881931138,0.0935469425895377,30.5551721869086,0.296077595444484,285.715222396817,0.299704414121045,299.704414121045,<0.1,<0.1,-,-,-,-,-,-,-
4,N,1491,"Amusement, Fitness and Sports Centre Managers",-,2,21.3932855918935,0.440469320104267,2.10219626035338,1.74944668444296,8.90582890994603,6.83083445543328,46.9071751137473,8.66748825177224,68.1095888934662,0.145746605325064,1.12229308920923,38,26,27,26,36,31,37
4,N,1492,Call or Contact Centre and Customer Service Managers,-,2,39.4780509333813,-0.130835195908077,-0.330317786470972,-0.438172546334286,-1.09773046680369,2.9833446465977,8.17473258492316,3.2430947904858,8.95018273982832,0.268953166809056,2.07102100084956,49,6,9,4,43,43,44
4,N,1493,Conference and Event Organisers,-,2,31.7464815365079,-0.0258215120283758,-0.081270507803385,-0.051158033559112,-0.160886261530149,0.252962790121,0.803221742727688,3.4395547447312,12.1509295941318,0.216280098495675,1.66542239068841,71,22,27,10,36,35,38
4,N,1494,Transport Services Managers,-,2,20.4331508266257,0.301003600086311,1.49513907632024,1.16137857807897,6.02631954705958,3.93271070411106,23.83397457832,2.47753865831575,13.7981297161696,0.139205469692051,1.07192435986464,22,15,22,13,47,50,46
4,N,1499,"Other Hospitality, Retail and Service Managers",-,2,95.9819772202977,0.572975839429162,0.600546941207222,2.37886970988103,2.54144309217116,19.5069437469379,25.5075975268885,30.2195180654995,45.9525365290337,0.653898967138868,5.03522047888687,37,16,25,11,46,43,48
1,N,2,Professionals,Y,-,3989.05246721264,48.2220473382554,1.22365192612862,177.427934682554,4.65491637931032,762.771622575588,23.6424433986743,1282.65836009437,47.393628175614,27.2196502202113,-,55,24,33,13,40,39,41
2,Y,20,Professionals nfd,-,-,20.3149963563136,0.469140519928512,2.36392183736615,1.94497090102245,10.5877420026233,12.4335101378648,157.755907873829,1.60757231803618,8.59323183537674,0.138281963725538,0.508814707349373,-,-,-,-,-,-,-
3,Y,200,Professionals nfd,-,-,20.3149963563136,0.469140519928512,2.36392183736615,1.94497090102245,10.5877420026233,12.4335101378648,157.755907873829,1.60757231803618,8.59323183537674,0.13814791507047,0.509549324018084,-,-,-,-,-,-,-
4,Y,2000,Professionals nfd,-,1,20.3149963563136,0.469140519928512,2.36392183736615,1.94497090102245,10.5877420026233,12.4335101378648,157.755907873829,1.60757231803618,8.59323183537674,0.138400515591943,0.51231002649621,-,-,-,-,-,-,-
2,N,21,Arts and Media Professionals,-,-,110.260010119702,0.362644006598842,0.329984256606859,1.36557991996436,1.25404019054011,3.5886359056877,3.3641976885831,10.7594545072123,10.813461734943,0.750527858943551,2.76160102603018,49,36,41,31,40,39,41
